,Building_Height_(m),Number_of_Floors,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm),repair,Building_Type_Industrial,Building_Type_Residential,Fire_Occurrence_Yes,Type_of_Fire_Electrical,Type_of_Fire_Negligence,Fire_Scale_Medium,Fire_Scale_Small,Sprinkler_System_Present_Yes,Electrical_Equipment_Inspection_Conducted_Yes,Gas_Equipment_Inspection_Conducted_Yes
9383,5,1,16,5,1,1,18.0724226599743,0.7800448096720233,2.204513441295088,2.3,0.5,0,1,1,0,1,0,0,1,0,0
9385,39,11,45,5,10,8,19.98758629240892,0.8288022087372225,3.314401458627149,62.309557773913184,0.0,0,0,1,0,1,0,1,1,1,1
9386,19,5,35,2,7,2,22.152554551844663,0.9177751679058798,4.177050160511131,24.93573296362389,0.0,0,1,1,0,0,0,1,1,0,0
9393,33,10,12,4,10,11,18.768765810367537,0.8700370780398266,2.5919747250096097,55.47450584675744,0.0,0,0,1,0,1,0,0,0,0,1
9400,21,6,7,5,2,1,21.38979873545252,0.5854734056024792,0.6,56.92851535419915,0.75,0,1,1,0,0,1,0,0,0,0
9406,38,11,25,4,8,9,29.7,0.7172517545329917,2.769727305841648,44.46250237110879,0.25,0,0,1,0,1,0,0,0,0,1
9407,30,9,32,4,11,10,15.1,0.6191407200858245,1.8639864249298888,89.80705331679435,0.0,0,1,1,0,0,1,0,1,1,0
9408,19,6,21,10,7,2,15.882878079182206,0.5352749495647848,2.113748485992232,40.06605235233587,0.0,0,1,1,1,0,0,1,0,0,1
9409,19,5,34,5,6,8,26.23166140613703,0.8147966014870593,4.068553642454816,11.552454102083749,0.5,0,0,1,0,1,0,0,0,1,0
9418,21,6,21,5,6,10,19.314844166704525,0.6678598345719486,3.2755867363120594,45.41200118934207,0.25,0,0,1,0,0,1,0,1,0,1
9422,27,8,34,4,9,10,21.70165033665686,0.610648230957109,4.607008352645402,45.97774090556028,0.75,0,0,1,0,1,1,0,1,0,1
9424,13,3,15,5,1,11,23.055291718078937,0.6472117578300245,3.494232367067126,33.22717587864464,0.25,0,0,1,1,0,0,1,1,0,0
9426,29,8,16,6,10,9,17.554624388619455,0.7741545172340867,2.836930693332497,79.93263629902874,0.25,0,1,1,0,0,0,0,1,0,0
9428,15,4,30,3,6,7,26.484147254026865,0.7399468898438896,0.6444272118772334,81.71441451428265,0.0,0,0,1,0,0,1,0,0,0,0
9430,21,7,11,4,8,11,20.362602151953137,0.919864379042089,4.052504981115426,52.52028586285928,0.25,0,0,1,0,0,1,0,0,0,1
9431,5,1,26,4,2,0,19.288133685214767,0.9940000000000001,3.3361961377360942,27.353376838964387,0.0,0,0,1,0,1,1,0,0,0,1
9433,29,8,1,7,8,0,20.206738292769035,0.7376366773888594,4.698391749359686,74.39641474624243,0.25,0,0,1,0,0,1,0,0,1,0
9437,30,9,0,7,7,4,22.69926014382079,0.6813446220246948,3.502784619684566,32.77789030974604,0.0,0,1,1,0,1,0,1,0,0,0
9444,7,2,34,1,1,8,23.74790130176952,0.6006082410192667,4.9,54.52206996142897,0.25,1,0,1,0,1,1,0,1,0,1
9451,22,7,23,7,6,13,22.52534191423863,0.5869903951203715,3.288207777098111,79.33232387995436,0.0,0,1,1,0,1,1,0,1,0,0
9452,42,12,32,5,11,11,22.54415415495751,0.8658549593658865,2.2021178419983656,30.240236803095907,0.0,1,0,1,1,0,0,1,0,1,1
9453,13,4,0,7,4,4,17.059356071932697,0.6426939203229933,1.2879322397715247,75.74331163061555,0.0,0,1,1,0,0,0,1,0,0,1
9457,25,7,5,6,6,6,21.48148496579683,0.844889971403195,1.6878417073855412,32.42267563385704,0.75,0,0,1,0,0,1,0,0,0,1
9459,36,10,26,8,10,11,20.29722225040165,0.9940000000000001,3.2853715903273075,41.49064507019638,0.0,0,0,1,0,1,1,0,0,1,1
9460,31,9,26,1,8,6,21.2186226355654,0.6717610512963864,4.9,55.38465570553615,0.25,0,1,1,0,0,0,0,0,0,1
9461,45,13,29,8,15,15,25.05432161262956,0.9369152872425061,3.892830123423479,38.83856875217488,0.0,0,0,1,0,1,1,0,1,1,0
9463,32,9,6,6,3,5,17.34898506251071,0.538504988828249,1.481928111580339,2.3,0.25,0,1,1,0,0,1,0,0,0,0
9468,49,14,39,4,12,18,25.633923547724493,0.7297109174847074,4.86670263808127,52.53313244367719,0.75,0,0,1,0,1,0,0,1,0,1
9471,47,14,6,4,12,17,24.213909136685125,0.5254131493782036,2.375692532703132,83.45971750106129,0.5,0,0,1,0,1,1,0,1,1,1
9472,29,8,1,3,8,5,16.524369262087433,0.8380429426986095,2.4512496698206454,23.36472197205653,0.75,0,1,1,0,0,0,0,1,1,0
9474,24,7,16,4,3,3,26.526274531314503,0.8282420021270408,2.5703063988467565,24.21473541275639,0.0,1,0,1,0,0,1,0,0,0,0
9475,32,9,28,5,12,9,21.23986516182575,0.724429149964955,3.2853538436405656,62.79685598066029,0.0,0,0,1,0,0,1,0,1,1,0
9476,25,7,50,4,7,5,18.15779684853259,0.74940364394019,4.277017128125204,16.988127786571475,0.75,1,0,1,0,1,0,1,0,1,1
9477,9,3,20,2,2,0,18.26638035329032,0.7702927608509242,4.9,54.60271275996381,0.5,0,0,1,1,0,0,1,1,0,0
9478,13,3,50,2,5,12,20.417851549284222,0.7054240508270238,4.38499637636271,29.939230742967,0.0,0,0,1,0,0,0,1,0,0,1
9479,24,7,20,10,9,12,20.86189777314401,0.4887026719441593,2.697692116612247,94.1,0.25,0,0,1,0,1,0,1,1,0,0
9482,20,6,10,4,2,3,17.05021254362468,0.7026176447011327,0.8557681109656814,14.178567844293742,0.0,0,0,1,0,0,0,1,0,1,1
9485,23,7,50,5,11,16,28.58636567817593,0.6963923030346703,4.825873753157167,93.78546339493032,0.5,1,0,1,0,1,0,1,1,1,1
9488,27,8,47,7,7,6,20.571850020470297,0.8243420906896783,4.023364825364579,29.653772970616764,0.0,1,0,1,0,1,0,1,1,0,0
9490,35,10,11,5,6,8,24.76137605889186,0.5239192916205262,1.9158579166754937,36.63169322818014,0.0,1,0,1,0,0,1,0,0,0,1
9491,26,7,35,3,5,8,22.250961847243698,0.7033579188025595,3.345424478791738,41.630506749245,0.75,0,0,1,1,0,1,0,1,0,0
9492,18,4,49,6,6,1,21.4952404707165,0.812327035084174,2.609565448936205,3.0383215368296845,0.0,1,0,1,0,1,0,1,0,0,0
9493,30,9,36,9,6,6,22.62465195807676,0.6471039640626786,1.441489155633331,45.621147071657205,0.25,0,0,1,0,1,1,0,0,0,0
9495,9,2,29,8,1,4,18.986345171694254,0.5958378000197097,2.2737960311680863,61.35720874374954,0.25,0,0,1,0,1,1,0,0,0,0
9499,43,12,17,4,10,7,24.58492181696661,0.7075802489987683,2.031560457390001,18.89129605076163,0.5,0,1,1,0,1,1,0,1,0,0
9500,20,6,38,7,7,8,21.12355722681088,0.7346436032200551,1.6014453463104266,62.20883574346446,0.75,0,1,1,0,1,1,0,1,0,0
9506,32,9,27,1,5,7,19.07844239517893,0.5806022424884862,4.538257616158427,51.41401762486432,0.0,0,0,1,0,0,0,1,1,0,0
9507,42,12,28,4,11,6,20.92986353733127,0.5212039326823598,1.7881143795037284,94.1,0.75,0,1,1,0,0,0,0,1,1,1
9509,34,9,34,6,9,8,18.35510811290285,0.829439018321715,3.706137698362857,23.43757687099418,0.0,1,0,1,0,1,0,1,1,0,0
9511,13,4,24,3,2,5,24.600378254099308,0.7323728556336461,2.087036895773662,19.84935612679922,0.5,1,0,1,0,1,1,0,1,0,0
9512,21,6,19,8,10,10,16.809746659742682,0.8481632842527083,3.155484110545113,70.94706655053764,0.75,0,1,1,1,0,1,0,1,1,0
9516,17,5,17,9,5,15,24.214323479112696,0.47360649389086534,2.1090288356153017,58.71609572941708,0.0,0,1,1,0,0,0,1,0,0,0
9519,25,8,37,7,6,4,18.00354549999238,0.6462155620074403,2.7348638590244003,42.171759165392594,0.0,1,0,1,0,1,1,0,0,0,0
9520,5,1,39,7,3,8,27.246316109628697,0.7678361936516376,3.093733683570383,68.68940535180546,0.25,0,0,1,0,0,0,1,0,0,1
9522,23,7,16,6,8,3,19.48558863912583,0.9672593986002045,1.8881430903199403,32.32184337555531,0.0,0,1,1,0,1,0,0,1,0,0
9523,35,10,32,9,7,11,28.12477632644108,0.6436073088947564,1.5224918189491368,11.83753673209428,0.75,0,0,1,0,1,0,1,1,1,0
9525,20,5,12,4,5,0,19.08311566685755,0.6575934543835245,4.9,30.595140301225783,0.75,0,1,1,0,0,0,0,0,0,0
9526,33,9,0,7,11,12,20.21657254767825,0.9342626447471989,4.767953258346992,15.419505154246997,0.0,0,0,1,0,1,1,0,1,1,0
9529,12,3,26,3,2,0,18.26910854178472,0.7949633688085856,2.9330561478216377,36.33650342244305,0.0,0,0,1,0,1,0,0,0,0,1
9531,21,6,30,5,4,6,23.996298192242143,0.8432488380881878,4.416855022947493,26.052700661559648,0.0,0,0,1,0,0,1,0,1,0,0
9535,21,5,27,4,3,2,15.1,0.6918971527231196,3.941317033199304,27.06412449569232,0.0,0,1,1,1,0,0,0,1,0,0
9541,20,6,18,9,6,12,21.45741345343662,0.728761722472214,4.071574156376766,30.94519246200435,0.0,0,0,1,0,1,1,0,0,0,0
9542,15,4,43,2,5,3,18.722186349963224,0.7129313483382163,4.9,18.73428367624588,0.75,0,1,1,1,0,0,0,1,0,0
9545,42,12,25,9,7,3,24.806622761060765,0.5360636992664648,2.4403093298858507,42.92918996312306,0.25,1,0,1,0,0,1,0,1,0,0
9556,41,12,0,3,11,8,21.26296235828062,0.9584090856419865,2.4282469492202488,43.042303679867736,0.0,0,1,1,0,0,0,1,0,0,0
9557,18,5,17,6,9,11,21.01162729951348,0.8973893448813226,2.642278469089999,87.307847298417,0.75,0,0,1,0,1,1,0,1,0,0
9559,31,9,21,3,7,1,23.062657169861065,0.9531174593946428,4.513976246731808,27.156394348658004,0.75,0,1,1,0,1,0,1,1,0,0
9560,38,11,10,8,9,6,23.217835647891924,0.9022505786775112,2.4721111920235,41.81660337830787,0.75,0,0,1,0,1,0,0,1,0,0
9563,29,8,20,3,4,6,20.99754318901869,0.964402235294759,3.4569006475299666,18.022805288637503,0.5,0,0,1,0,1,0,1,0,0,0
9564,31,8,33,7,8,7,21.338483724023305,0.7416086660937081,0.6,46.25484598991778,0.0,0,1,1,0,1,0,1,1,0,0
9566,34,10,27,6,13,12,21.31285370999345,0.6369630996483149,4.9,10.945266248408306,0.0,0,1,1,0,1,1,0,1,0,0
9569,22,6,27,5,5,0,18.266004863429725,0.9592147404552831,0.6,39.619949210648215,0.25,0,0,1,0,0,1,0,0,0,1
9570,30,9,0,10,10,8,24.061659129877704,0.9144322680992115,1.5138109524084524,33.83240870246739,0.0,0,0,1,0,0,0,0,0,0,0
9571,20,6,42,2,3,0,25.495005920609408,0.9271422335633471,2.5059230352238004,2.3,0.25,0,1,1,0,1,1,0,0,0,1
9573,22,6,30,1,3,4,16.338213718104665,0.5873983514347326,3.2791907303010337,29.929016221165654,0.75,0,0,1,0,1,0,0,1,0,0
9576,28,7,25,7,7,6,23.0549769424393,0.855668713240668,2.019529402099144,75.23320795756939,0.0,0,0,1,0,1,1,0,1,0,0
9577,19,5,41,7,5,0,17.926519391907725,0.8883277457552654,2.6101380585865974,30.678808375308847,0.25,0,0,1,0,0,1,0,0,0,0
9580,20,6,32,4,5,7,26.09854998988417,0.7705097888784637,1.2067626803007483,32.35265926815963,0.25,0,0,1,0,0,0,0,0,0,0
9584,16,5,33,8,1,1,20.39846418263995,0.40399999999999997,2.0848973804370297,54.64508381001469,0.0,1,0,1,0,0,0,1,1,0,0
9586,6,1,30,5,1,0,16.652002821762842,0.5860920526108729,1.68928456475359,19.171797184337343,0.25,0,0,1,0,0,1,0,0,0,0
9588,10,3,24,8,3,6,27.61486330788717,0.5308190014441144,4.84590175483097,67.817144802419,0.0,0,0,1,0,1,0,1,1,0,0
9590,26,7,19,7,5,3,16.140878924080706,0.45845910012766533,2.739454988106138,36.08361209759895,0.0,0,1,1,0,1,0,1,1,0,1
9591,15,5,19,8,4,13,26.02029920804634,0.7484454247259399,2.1862594955045265,2.3,0.0,1,0,1,0,0,0,1,1,0,0
9592,20,5,9,8,6,8,18.253670871939946,0.9058560530678225,2.3348855215399507,59.26099736791053,0.5,0,0,1,0,1,1,0,0,1,0
9597,30,9,27,2,15,17,20.66372063366568,0.7728047630174807,2.9664358255023395,78.58481301093587,0.75,0,1,1,0,1,0,1,1,1,1
9599,24,6,40,8,4,3,25.263915551559577,0.8183831692675824,2.2219236144364487,21.483832901036312,0.75,1,0,1,0,0,1,0,1,0,1
9605,22,7,26,5,6,6,29.45027795717933,0.7940614388289252,4.179154745616337,35.04386844425031,0.5,0,0,1,0,1,1,0,1,0,0
9608,33,9,20,7,7,10,22.236648772858366,0.6521018927406963,3.2631900604382498,2.3,0.0,0,0,1,0,1,1,0,1,0,1
9611,18,5,19,7,1,1,15.765460533235752,0.4783811597286403,2.431926814300958,21.73012123992433,0.0,1,0,1,0,1,1,0,0,0,0
9614,14,4,7,8,5,6,15.1,0.6782541393852761,2.908681522461548,75.4277358835037,0.25,0,1,1,0,1,0,0,0,0,1
9615,38,11,29,10,10,8,20.469837852088027,0.4216503653327438,2.8277951615041497,56.17695899720757,0.75,1,0,1,0,0,0,0,1,0,0
9616,33,9,19,9,10,13,18.52565487244663,0.5506155287717645,2.197634458784132,53.2038550736128,0.75,0,0,1,0,1,1,0,1,0,0
9618,18,5,18,8,6,7,29.7,0.6643055349422227,1.869167402038256,4.773092074730574,0.75,1,0,1,0,0,0,0,0,0,0
9622,5,1,19,4,5,9,20.410441157121724,0.9468770178846226,2.598893722040484,23.55899661740053,0.25,0,0,1,0,1,0,1,1,0,0
9625,29,7,29,8,9,14,20.8355267859762,0.7605656047951616,3.13494309116977,62.884181038698,0.0,0,0,1,0,0,0,1,1,0,1
9627,43,12,29,4,7,11,24.58937783036621,0.41051933909663957,4.092709806536659,31.11130587975237,0.0,0,1,1,0,0,1,0,1,1,0
9629,18,5,22,2,5,0,15.1,0.48615489790385186,4.9,53.20072739508888,0.5,0,1,1,0,0,1,0,0,0,0
9630,19,6,26,5,9,13,23.688642421456542,0.8917904001770053,3.2105671428713336,22.648270251606803,0.5,0,0,1,1,0,0,1,1,1,1
9638,14,4,31,4,4,6,16.758380246977197,0.7773106908365783,1.5759979483527828,79.3653324366777,0.25,0,0,1,0,0,0,1,1,0,0
9643,23,7,22,3,7,5,24.547820237284707,0.8021849058708368,3.061151713505138,41.252647954733774,0.75,0,0,1,0,1,0,0,0,0,1
9645,14,5,21,1,4,10,20.45809701334105,0.8490153365729622,2.752788141349596,57.636426018279,0.75,0,0,1,0,1,0,0,1,0,1
9646,47,14,34,5,17,13,26.778953117266376,0.9518285817336684,2.708369650357368,85.62689923305965,0.25,0,0,1,0,1,0,1,1,0,1
9649,10,2,4,7,11,2,15.1,0.9940000000000001,4.711188808091514,49.54810021340661,0.0,0,0,1,0,0,1,0,1,0,1
9652,19,5,41,6,4,5,15.1,0.69729529985588,1.9425420960976325,9.217203984815889,0.0,0,1,1,0,1,1,0,1,0,0
9653,46,13,43,3,9,6,19.71022682214201,0.6555808382112026,3.7221358343595545,29.29795795454685,0.75,0,1,1,0,1,1,0,0,0,0
9658,26,8,15,6,9,9,15.1,0.8924336284907767,2.0911180264651907,59.62088596735882,0.0,0,0,1,0,1,0,1,0,0,0
9660,19,5,21,4,4,1,21.67740881748524,0.7046028741895678,3.401266169773061,61.16078110129923,0.75,1,0,1,1,0,1,0,1,0,1
9664,35,10,37,6,14,12,24.348613843642774,0.9244525608238681,1.517459409030895,77.62043681307942,0.75,0,0,1,0,1,1,0,0,0,1
9666,18,6,33,8,10,16,21.835998815726583,0.9666942340689189,1.802583764522944,78.29732968174946,0.25,0,0,1,0,1,1,0,0,0,1
9668,15,5,23,8,5,0,26.34454991224118,0.46765093893623716,2.420726356486229,35.434401650111,0.25,0,0,1,0,0,0,1,1,1,1
9669,25,7,16,9,4,2,25.74595056793514,0.6196935484963563,3.160674782871672,37.98610289768455,0.75,0,1,1,0,1,1,0,1,0,0
9671,18,5,19,6,2,0,17.72238405656806,0.8824358119488457,2.793468249207804,32.47517105052119,0.0,0,0,1,0,1,0,1,0,0,0
9672,25,7,13,7,7,10,23.998656102886848,0.6908428453628774,3.194163916202866,16.87509459566785,0.0,0,1,1,0,0,1,0,1,0,1
9674,35,10,23,5,11,11,23.330676755814263,0.9670128547582075,1.7268830360370817,32.28208697561063,0.25,0,0,1,0,0,1,0,0,1,0
9675,36,10,4,7,10,20,17.613392357269188,0.6958239541259233,2.068097203422208,65.1422809530469,0.25,0,0,1,0,1,0,0,1,0,0
9677,28,8,16,5,4,0,21.69554120020805,0.5122013855723716,3.984258879077784,19.76350718387886,0.5,0,1,1,0,1,0,0,1,0,1
9680,29,9,19,3,6,4,20.239139589313574,0.7166498943435513,4.707770451682504,30.114763482312696,0.25,0,0,1,0,0,0,0,1,0,0
9681,33,9,46,2,10,11,26.392549615139075,0.9134642636921267,0.8744332794165057,94.1,0.25,1,0,1,0,0,1,0,1,0,0
9682,36,10,44,5,6,14,20.41835460405813,0.8091973768750671,1.695608564368837,72.13056288151425,0.25,1,0,1,0,1,1,0,1,0,0
9685,38,11,24,4,9,13,19.54783886117293,0.8433321041936469,2.0311229829807664,71.70941187058175,0.25,0,0,1,0,0,0,1,1,0,0
9687,44,13,21,8,10,8,17.67451098174104,0.6490323743499693,2.273557229216149,45.31652919988055,0.25,0,0,1,0,0,1,0,1,0,1
9688,38,10,20,2,12,10,24.843358733443367,0.9102305127855078,3.511174639011501,5.319394128766394,0.25,0,1,1,0,1,1,0,1,1,1
9690,17,5,29,6,5,3,19.771490838616188,0.7694056885932312,1.6035488395468391,63.87725788639485,0.0,0,1,1,0,1,0,1,0,0,1
9691,20,6,34,8,4,13,21.446110056279675,0.612005522345465,3.944993733134462,35.659063202739,0.25,0,0,1,0,1,0,1,1,1,1
9693,32,9,14,2,8,9,28.75239668003421,0.910330683134073,3.714520181163972,2.3,0.25,0,0,1,0,1,1,0,1,0,1
9697,34,9,41,6,14,10,18.996706194078925,0.874587260019087,2.912022150653644,59.75439311531359,0.25,0,1,1,1,0,1,0,1,0,1
9699,35,10,0,10,9,5,16.082063423460575,0.592915921279241,4.248132933371133,19.367287012428616,0.0,0,1,1,0,0,1,0,0,0,0
9702,34,10,29,4,7,10,16.806580093226106,0.681493596689466,2.2503253657392444,44.29068593675566,0.25,0,0,1,0,0,0,0,0,0,0
9703,15,5,29,10,10,9,23.843078044114137,0.9339846215994292,2.460890604050359,57.27825143284913,0.25,0,1,1,0,1,0,1,1,0,1
9705,38,11,37,6,13,11,18.527024870844283,0.977696742185496,2.566061798909086,56.98023751331239,0.75,1,0,1,0,0,0,1,1,0,0
9707,17,5,18,9,1,7,26.74141055653872,0.6739270204833951,3.443785929945561,10.242241344070624,0.0,1,0,1,0,1,1,0,0,0,0
9709,27,8,47,6,9,3,22.70686044443461,0.8933175360313653,1.2755491011952769,26.70766824242489,0.75,0,0,1,0,0,1,0,1,1,0
9713,21,5,32,4,1,3,29.7,0.830518060986318,0.6,6.197513885837456,0.75,0,0,1,0,0,1,0,0,0,0
9714,48,14,27,4,9,10,21.344379676398173,0.45762018965305146,2.8817599699958385,72.86888054414975,0.25,0,0,1,0,0,1,0,1,1,0
9716,36,10,31,6,9,7,15.1,0.8030756817741097,3.504914268796215,41.05210863891696,0.0,0,0,1,0,0,1,0,1,0,0
9717,13,4,24,6,7,7,15.1,0.9887014267270656,4.134183611277762,44.579687329638965,0.25,0,1,1,1,0,1,0,1,0,1
9720,18,5,29,4,4,0,15.1,0.6393898728290524,2.419398813566056,2.3,0.25,0,1,1,0,0,0,1,1,0,0
9723,26,8,0,9,9,8,16.744724671589886,0.8110927755801544,2.0883204348962034,31.625721988515448,0.25,0,1,1,0,1,1,0,1,0,1
9724,10,4,21,10,6,7,26.385631252507807,0.8310676715184633,2.569692231105165,79.26825778129441,0.75,0,1,1,0,1,0,0,1,0,0
9727,11,3,18,6,2,1,19.16199599914299,0.7100953699627931,2.80645204043679,76.09721938490645,0.0,0,0,1,0,0,0,1,0,0,0
9731,5,1,2,10,2,0,15.483173959511554,0.7356550112343192,3.69645441380156,36.51674421979091,0.0,0,1,1,0,1,1,0,0,0,0
9732,19,5,13,4,9,6,15.71393396273702,0.8328834288146993,2.6256542365059468,80.51989141876547,0.25,0,1,1,0,0,0,0,1,0,1
9733,30,8,29,9,11,9,20.82718493058844,0.8720818668177905,0.6092943416511889,52.22086632045887,0.0,0,1,1,0,1,1,0,1,0,0
9736,18,5,16,9,10,13,15.1,0.6956940613361822,2.994612519842708,8.379842741313038,0.25,0,1,1,0,1,0,0,1,0,1
9738,16,5,20,1,3,6,24.103524628061585,0.6536870889302645,3.1353242589049435,41.81285978486701,0.0,1,0,1,0,0,0,1,0,0,0
9739,35,10,21,6,17,15,17.7402821075762,0.886432309888894,0.7252450331884648,94.1,0.0,0,1,1,0,1,0,0,1,0,0
9741,21,6,18,6,8,14,28.62574708197665,0.6801357962661111,3.0378361438260115,35.686625276090915,0.0,0,0,1,0,0,1,0,1,1,0
9742,32,9,6,3,8,5,23.35847213444784,0.9353444503410369,1.682222349322542,46.08788458914599,0.0,0,1,1,0,1,1,0,1,1,1
9747,25,7,32,4,6,2,21.98674273232556,0.6709423540789369,2.228284627448444,66.99227419258007,0.25,0,0,1,0,0,0,1,1,0,1
9748,34,10,17,5,8,14,27.68404126723684,0.8124025673891881,2.663648550548295,31.01092759223102,0.0,0,0,1,0,0,1,0,1,1,1
9749,26,7,12,7,8,4,16.212209838618442,0.6094010702203606,2.190626802383183,16.275317093630292,0.75,0,1,1,0,0,1,0,1,0,0
9750,23,7,30,5,2,0,21.05363313377568,0.4106861897150938,3.252969484005378,59.13093437819467,0.0,1,0,1,0,0,1,0,1,0,0
9751,10,3,13,7,4,13,24.28194444720802,0.9940000000000001,1.673449665697594,69.69287032642897,0.75,1,0,1,0,1,1,0,0,1,0
9753,26,8,33,4,9,13,18.629488749451383,0.8512172766503885,1.4958617789691242,50.17918665421927,0.0,0,0,1,0,1,1,0,1,0,1
9755,28,8,26,9,9,9,21.4243466457432,0.5186576675840368,3.152366990106293,33.6087023933101,0.75,0,1,1,0,0,1,0,1,0,1
9756,19,6,19,4,10,4,24.25512392277648,0.9940000000000001,2.7525717610294977,51.257386171802295,0.75,0,0,1,0,0,1,0,1,0,1
9758,5,1,39,5,1,6,15.989345653828703,0.89505206118107,2.966903214241666,35.52886160209402,0.5,0,0,1,1,0,1,0,1,1,0
9767,25,8,23,5,3,4,23.1858736637202,0.6272651372732111,4.335195636567911,58.50359161936619,0.0,1,0,1,0,1,0,1,1,1,0
9768,27,7,50,3,4,2,21.401198351586032,0.5607961811250696,2.4940019817773225,45.15461384249662,0.0,0,0,1,0,0,1,0,0,0,1
9769,6,2,50,6,2,3,16.279904551803,0.7124882954614911,3.03152243984539,78.79951340398355,0.0,0,1,1,0,0,0,1,1,0,0
9770,22,6,30,3,7,10,18.64204143946252,0.7145390349958977,2.3449409332931688,46.308356293790304,0.75,0,1,1,0,0,0,0,0,0,0
9775,29,8,21,7,8,9,18.007849906816023,0.6081111383977329,2.695856552436648,65.68455560872786,0.25,0,1,1,0,0,0,1,1,0,0
9780,38,11,0,5,11,15,21.88639425491924,0.8284426251684266,0.6,47.55096602132293,0.0,0,1,1,0,1,1,0,1,0,0
9785,23,6,29,6,9,11,15.1,0.84134342767607,3.308247176553361,64.74953913955116,0.0,0,1,1,0,1,1,0,1,0,1
9789,27,8,20,8,12,9,18.812852183165845,0.9419021048048976,2.568883766351897,59.90409838847477,0.25,0,1,1,0,0,1,0,1,1,1
9793,25,8,4,5,6,12,17.039819544846274,0.6780188165323411,3.266669276759641,88.98235752705381,0.0,0,1,1,0,0,0,1,1,0,1
9798,41,11,34,2,10,11,22.611608040093486,0.5758445088568545,1.467492718990972,52.45142246144117,0.75,1,0,1,0,0,0,1,0,1,0
9799,39,10,40,1,13,6,23.13379553048734,0.9940000000000001,2.5724066789150446,22.832201363643364,0.25,0,0,1,0,0,0,1,1,0,1
9800,13,4,29,6,3,3,17.707536048257797,0.6925424098469628,4.114274398251285,74.54764533807665,0.0,0,1,1,0,0,0,1,0,0,1
9801,49,14,19,7,14,12,24.19697329784955,0.5100617567278484,3.795446694696418,59.75102537215257,0.75,0,0,1,0,0,1,0,1,0,0
9804,8,2,36,1,2,9,17.753810108163872,0.8728362489688323,3.266680055550216,27.649141922940323,0.25,0,0,1,0,0,1,0,0,0,1
9805,33,9,19,6,8,9,21.553820659421994,0.8944400793396189,3.875488666186566,41.90410942005892,0.75,0,0,1,0,0,1,0,0,0,0
9806,30,8,19,7,10,10,18.892370459591447,0.6549530618199922,2.3831800461255286,29.171126731255782,0.5,0,1,1,0,0,0,1,0,0,1
9809,29,8,17,6,4,2,24.11350170102213,0.6353330741703399,2.649580775790744,6.688073495722676,0.0,0,0,1,0,0,0,0,1,0,1
9810,22,7,5,9,9,1,15.1,0.842487843593471,1.3357443753895542,67.99178611670477,0.75,0,0,1,0,1,0,1,0,0,0
9814,38,11,8,5,11,9,29.7,0.9339488131953531,2.317197603319423,57.878697054435705,0.25,0,0,1,0,0,0,1,1,1,0
9821,22,6,17,8,6,6,18.51895797707101,0.4689037592839309,3.9615558714512935,72.89945197808295,0.0,0,1,1,0,1,1,0,0,0,1
9822,24,6,18,3,4,4,15.1,0.6983847551114296,3.696804592677121,50.66282327012376,0.75,0,0,1,0,0,0,0,0,0,0
9824,42,13,0,3,9,15,29.7,0.8390246893564104,1.7320570988611732,27.46034708390568,0.0,1,0,1,0,1,1,0,0,0,0
9827,21,6,21,8,7,3,15.28764289582406,0.6732285016669922,2.9127737549481507,24.47773492613878,0.25,0,0,1,0,1,1,0,1,0,1
9828,22,6,46,9,8,4,25.15592768831508,0.9940000000000001,3.574345330930345,53.12400083300125,0.0,0,1,1,0,1,0,1,0,0,0
9830,5,1,13,7,1,0,15.1,0.6673892425145362,1.0852670083353624,44.40876514819121,0.0,0,1,1,0,1,1,0,0,0,0
9831,24,8,24,6,8,0,16.618386558741552,0.5436055858951195,4.9,54.872519805873765,0.25,0,1,1,0,1,1,0,1,0,1
9835,7,2,29,3,6,11,17.214083591825847,0.9940000000000001,3.002848829464208,83.39080048284401,0.25,0,1,1,0,1,1,0,1,0,1
9838,33,10,14,6,5,0,20.46643072043908,0.760898353042947,2.895908442021588,31.460847630601776,0.0,0,0,1,0,1,1,0,1,0,1
9846,38,11,42,4,11,11,29.17212198117568,0.9369989016512672,4.733177508693101,52.58981352789394,0.75,1,0,1,0,0,0,1,1,1,0
9847,18,5,50,4,6,4,21.13291465335495,0.7176677435016917,2.953317783274324,67.97662866617375,0.0,1,0,1,0,0,0,1,1,1,1
9849,23,7,38,4,6,18,23.81717899107197,0.6916505870261705,2.653565674170154,44.03628526578159,0.75,0,0,1,0,1,0,1,1,1,0
9851,26,7,46,6,8,11,21.55649526629099,0.7986192291288693,3.3564778309822447,41.76358457207419,0.0,0,1,1,0,1,0,1,1,0,0
9855,42,11,24,7,15,20,24.65088007138547,0.8274093166316935,3.348899549461237,57.34466887166627,0.0,0,0,1,0,1,0,0,1,1,0
9857,46,13,28,3,17,14,21.55980441072032,0.6314244533455203,2.7974828593677987,54.315222960398266,0.25,0,1,1,0,0,1,0,1,0,0
9860,27,8,26,2,5,10,19.943626310988584,0.6910492826678544,2.259498635241815,43.83031752891069,0.25,0,1,1,0,1,0,1,1,0,0
