Building_Type,Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
Commercial,23,7,No,Negligence,Large,47,10,No,5,8,No,No,Over 3 years,29.7,78.43779202361479,0.6,41.24928007834093
Commercial,37,11,No,Chemical,Medium,33,4,No,5,2,No,No,Over 3 years,24.486060122932987,58.746102801083765,1.1742348286105864,2.3
Residential,18,5,Yes,Chemical,Small,0,6,No,2,3,No,No,None,16.301099882329066,46.03893363344165,3.643195239068519,28.164290985487547
Residential,5,2,No,Chemical,Medium,37,6,No,4,4,Yes,No,None,17.703718161721504,55.54305689166269,3.614543052853902,22.46069050305097
Commercial,45,13,Yes,Negligence,Small,4,5,Yes,9,9,Yes,Yes,Within 1 year,18.50026193063591,54.83724098995302,4.318063350656428,22.217881691442948
Residential,7,2,No,Negligence,Medium,27,3,No,1,1,No,No,Within 1 year,22.83026868006785,81.47632063584813,2.139447468380409,23.53932398592803
Residential,26,7,No,Chemical,Small,22,5,No,10,8,Yes,Yes,Within 1 year,15.1,74.81031253149054,2.109655017688411,9.810590250075697
Commercial,17,5,Yes,Negligence,Large,27,6,No,7,9,No,No,1-3 years,24.265990535590472,90.50998628559311,4.453124079801822,43.91337729455418
Residential,30,9,No,Chemical,Medium,13,10,No,4,0,No,No,Over 3 years,17.732315829475976,53.15842685540436,1.753304801345911,30.530602009300697
Residential,35,10,Yes,Chemical,Medium,11,10,Yes,9,5,No,No,Over 3 years,24.483432897054325,58.22606435977031,2.7476633457406034,47.74035143711749
Commercial,15,4,Yes,Chemical,Large,39,5,No,1,0,No,Yes,None,15.108606871318653,41.43613464690888,2.5638073127627226,94.1
Commercial,33,9,Yes,Chemical,Large,0,4,No,7,10,No,No,Within 1 year,25.94744686042929,97.25836668010425,3.678945418670408,2.3
Residential,49,14,No,Negligence,Large,32,7,Yes,17,20,Yes,Yes,Over 3 years,24.914943778097985,72.04255543019885,2.450489418730079,73.21159778853318
Commercial,20,5,No,Negligence,Small,38,4,Yes,3,5,No,No,None,21.25000612408724,92.4298556551434,1.0181512430958553,33.62282003188917
Commercial,43,12,No,Electrical,Large,26,7,Yes,12,14,No,No,Over 3 years,22.70577985275891,68.11152361590403,3.377341521386,2.3
Industrial,46,13,Yes,Chemical,Small,30,5,Yes,4,11,No,No,Over 3 years,26.18393303652085,46.251703314362885,3.3851832822157224,29.68453614021947
Industrial,49,14,No,Chemical,Large,24,7,No,14,14,Yes,No,1-3 years,28.90428600858958,73.50639353277208,2.643196942476321,2.3
Residential,32,10,Yes,Negligence,Medium,4,7,Yes,10,15,Yes,Yes,Within 1 year,29.7,72.79547423985274,2.981399613739121,24.038769725584768
Commercial,34,10,No,Chemical,Small,15,8,No,6,7,No,No,None,29.7,54.31383656196502,2.845560125019841,53.867761483264346
Commercial,14,4,No,Chemical,Large,49,3,Yes,4,6,No,No,None,19.00689288642999,71.88545359700777,1.721883654722789,54.6092170362389
Commercial,29,9,No,Chemical,Small,33,3,No,7,3,Yes,Yes,1-3 years,26.78847297907068,57.12670718709711,3.991969661842448,4.857115452112186
Residential,39,11,Yes,Chemical,Large,12,6,Yes,13,3,Yes,Yes,Over 3 years,21.09849427527305,68.02006214594469,1.0776331118011626,60.42511751512981
Residential,26,7,Yes,Chemical,Small,35,3,No,2,0,Yes,No,1-3 years,19.71275782843625,75.7761063412431,2.710932503054205,2.3
Commercial,29,8,No,Chemical,Small,29,7,Yes,6,10,No,No,1-3 years,27.573141088411493,67.09830385646144,0.6,2.3
Residential,46,13,No,Negligence,Large,24,8,Yes,16,19,Yes,No,Within 1 year,24.863371595822404,61.802585806473466,2.701244854891888,33.56174975875667
Commercial,42,12,No,Chemical,Medium,11,8,No,12,9,No,Yes,None,28.32769557083815,92.60443580530364,1.8835157184266549,2.3
Industrial,34,10,No,Negligence,Small,19,10,No,10,10,No,No,None,21.30529515977616,97.06650717927616,0.606080079562624,93.67561768227974
Industrial,5,1,Yes,Negligence,Medium,20,10,No,1,0,No,No,Within 1 year,19.780973319454382,75.04583895285165,0.6,43.82943955609864
Commercial,27,7,No,Chemical,Small,50,2,No,8,2,No,No,Within 1 year,18.904638670648243,83.91172990840224,3.169654271132229,28.872296654810555
Commercial,32,10,No,Negligence,Large,18,4,Yes,13,18,No,No,Within 1 year,22.976131750377164,99.4,2.650746234600865,61.91818371842754
Residential,13,4,Yes,Chemical,Medium,29,6,No,4,9,No,Yes,Over 3 years,15.1,40.4,4.9,54.88885306596031
Commercial,30,9,No,Chemical,Medium,37,4,No,7,9,No,No,None,20.673504598106632,74.35921920309518,0.9906603404232894,37.52328109771677
Commercial,45,13,Yes,Negligence,Small,6,5,Yes,10,13,No,Yes,None,21.246281829724264,81.04684081093556,3.160576365182329,51.43608068956267
Residential,46,13,No,Chemical,Large,22,4,No,10,2,Yes,Yes,Over 3 years,23.65210465474347,50.07626510634849,3.7340139534484,27.831914235867764
Residential,22,6,No,Electrical,Small,38,5,Yes,6,0,No,No,1-3 years,18.30287532888689,73.34366791255218,3.273191274755633,2.3
Commercial,8,2,No,Electrical,Medium,42,6,Yes,5,0,No,No,Over 3 years,16.3678311875923,82.74843243180254,3.0596760608057267,14.69751699368005
Commercial,46,13,Yes,Negligence,Medium,21,5,No,14,15,No,Yes,1-3 years,29.7,99.4,0.8127226662375455,32.33999443324998
Residential,18,5,No,Chemical,Small,48,8,Yes,5,3,No,No,None,18.39395015362261,49.53331900389544,3.491955322384753,24.626977243955857
Residential,49,14,No,Negligence,Medium,0,10,Yes,16,14,No,No,Over 3 years,26.461469232894853,76.77584174502404,1.6073644256912254,2.3
Residential,23,6,No,Negligence,Large,21,9,No,1,0,No,No,Over 3 years,27.2922439839897,40.4,0.6259550330136725,31.195499165695225
Residential,37,11,Yes,Negligence,Small,50,2,Yes,13,7,No,Yes,None,19.94860252834353,97.21705928546692,2.487101844640807,49.62819551571688
Commercial,26,8,Yes,Electrical,Small,19,6,Yes,11,19,Yes,Yes,Over 3 years,25.2186677886192,90.90776010637671,3.66240120113581,73.54376922518401
Industrial,40,11,No,Negligence,Large,46,5,Yes,9,7,No,No,Within 1 year,26.443352448868573,92.58148434246458,2.4700076773411133,38.798282293901615
Commercial,44,13,No,Chemical,Medium,27,5,No,9,11,No,No,Within 1 year,27.29402866294226,65.24808008368515,2.635193645263322,3.302264369766672
Commercial,41,12,No,Chemical,Small,37,5,Yes,10,16,No,Yes,None,29.7,55.07351132022358,3.069938975767627,61.40217061914456
Residential,49,14,No,Chemical,Small,5,6,No,13,5,No,No,Within 1 year,23.67979634976644,69.04030221808874,1.7031669586421216,2.3
Residential,34,9,No,Negligence,Medium,11,6,No,8,7,Yes,No,1-3 years,29.7,65.08666932436789,3.1599891861413782,2.3
Industrial,23,7,No,Negligence,Medium,27,6,No,5,6,No,No,Over 3 years,26.62740986743684,62.890891871098525,4.818645655939244,23.86467367194879
Residential,48,14,Yes,Negligence,Small,11,6,Yes,14,18,No,No,None,16.430269758015772,48.89064356598264,3.317796937866971,50.83728760992801
Residential,21,6,No,Negligence,Small,22,4,No,8,14,Yes,No,Over 3 years,25.410148355834213,78.08452764652564,2.033213214829231,26.704808489660927
Residential,19,6,No,Chemical,Medium,13,10,Yes,10,10,No,No,Over 3 years,22.532611964924666,52.0024956392852,1.901151272556124,46.92861785802201
Residential,38,11,No,Electrical,Large,16,4,No,7,6,No,Yes,Over 3 years,19.704744449655458,61.04378359201775,3.476088452237665,8.005759907613221
Commercial,32,10,No,Electrical,Medium,37,6,Yes,11,10,Yes,Yes,1-3 years,29.7,77.73663697555635,3.7636263333304014,6.034167579410038
Industrial,30,9,Yes,Negligence,Small,26,6,No,8,11,No,No,1-3 years,27.24530512971799,81.99937414106248,3.629178012735116,31.600392080324703
Residential,31,9,No,Electrical,Small,32,5,Yes,13,8,No,No,Within 1 year,19.680634994349308,80.87167958090902,3.657242831763546,48.60420752350956
Commercial,36,10,Yes,Chemical,Small,23,6,Yes,12,10,Yes,Yes,1-3 years,22.295448443529605,73.31907768479749,3.835660012747725,4.454108894226103
Industrial,38,11,Yes,Chemical,Large,50,6,No,11,4,No,No,1-3 years,15.84452212093763,84.27733304453214,0.6,63.819213888416975
Residential,5,1,No,Chemical,Medium,12,3,No,1,0,No,No,None,20.123193596750465,63.48061982068554,1.9722836028873647,20.196805809695206
Commercial,25,7,Yes,Chemical,Small,17,4,No,8,7,No,No,Over 3 years,18.437899864733613,73.72085073724124,0.6,69.19332375787407
Commercial,20,6,No,Chemical,Small,38,3,Yes,10,6,No,Yes,Within 1 year,22.065013681495422,86.74389396730678,2.7018968710101188,86.53077617124947
Residential,22,6,No,Chemical,Small,34,5,Yes,6,7,Yes,Yes,None,22.04924140681157,40.4,4.304969788855865,76.982733111926
Commercial,34,10,Yes,Chemical,Small,20,5,No,3,1,No,No,None,26.44567359839781,73.71080398103933,1.078833974667456,22.51065026813808
Residential,15,4,No,Negligence,Small,37,3,No,5,1,Yes,Yes,None,20.127429624103392,59.19330234987723,4.798409405714172,21.47883820862204
Commercial,31,9,No,Negligence,Medium,42,6,No,7,11,No,No,Over 3 years,29.7,47.24049638002971,2.435630359822737,29.80903247942303
Commercial,35,10,No,Chemical,Large,46,1,No,6,5,Yes,Yes,None,24.18731544172607,87.65023764228091,1.3383887764524744,77.29016263971883
Commercial,26,8,Yes,Negligence,Small,24,7,Yes,8,9,Yes,No,1-3 years,21.94365462742356,80.19958942480412,2.186845034437611,15.751792143458855
Commercial,23,7,Yes,Negligence,Medium,20,6,Yes,7,7,No,No,Over 3 years,25.03608962556504,80.7010897766504,2.2888413168580297,51.53649914526309
Residential,29,8,Yes,Chemical,Small,16,2,Yes,9,3,Yes,Yes,Over 3 years,26.24517189681298,91.20924691740971,3.8034783415340976,37.81442826133917
Industrial,28,8,No,Chemical,Medium,50,6,No,2,0,No,No,None,22.67502794858169,43.48167416944521,2.8882916588247576,3.0476430825264416
Commercial,20,6,Yes,Electrical,Large,5,7,Yes,6,8,Yes,Yes,Over 3 years,20.33072044724922,85.50889872253825,3.013069052981338,72.09280922244801
Commercial,34,10,No,Negligence,Large,11,4,Yes,5,10,Yes,Yes,Over 3 years,15.1,43.57668560019289,3.265223797464216,56.651447110275626
Commercial,13,4,Yes,Chemical,Small,30,10,No,2,3,No,No,Over 3 years,17.658198503148505,57.21447009912948,2.168591503660624,77.04036041824598
Commercial,6,2,Yes,Negligence,Small,26,5,Yes,5,4,No,No,Within 1 year,19.519684133482745,99.4,4.30230012017994,70.67913966038873
Commercial,23,6,Yes,Negligence,Small,26,10,No,8,11,Yes,Yes,None,26.46112732420013,54.77653311120964,4.139067051186724,37.28940703579654
Commercial,24,7,No,Electrical,Medium,21,10,No,8,2,No,Yes,1-3 years,18.15836182446441,87.10243073653605,1.6446019912993115,46.49568661452316
Commercial,33,9,Yes,Negligence,Small,23,4,Yes,8,13,No,No,1-3 years,21.351724165804683,86.45000937542633,0.8889915789792857,47.93879140155218
Residential,37,11,No,Chemical,Medium,13,5,Yes,6,0,No,No,Over 3 years,23.32772639708128,62.270289083699886,2.9203752211607807,2.3
Commercial,40,11,No,Chemical,Small,34,4,No,12,11,Yes,Yes,1-3 years,24.722609629999614,99.4,3.4497812623171287,3.731624944602803
Commercial,20,6,No,Negligence,Small,32,10,Yes,8,6,No,No,Within 1 year,24.45389650400252,73.18478408240985,2.3671829485692752,2.3
Commercial,27,8,No,Chemical,Medium,23,3,Yes,7,6,No,No,Over 3 years,24.13597462511636,65.64244318264576,3.704703392371874,28.27240902256508
Commercial,18,5,No,Negligence,Small,37,5,No,4,8,No,No,Within 1 year,17.33255626238648,60.1772249006036,4.295952041826462,2.3
Commercial,33,9,No,Chemical,Large,23,5,Yes,12,8,No,No,Over 3 years,22.996454135214783,82.7422290170806,3.3194614731410863,55.90383860919059
Commercial,16,5,No,Negligence,Medium,43,4,No,4,5,No,No,Over 3 years,21.662232642482508,80.10133048859078,2.1125890305680866,35.14439605941673
Residential,17,5,Yes,Chemical,Medium,21,4,No,4,0,Yes,Yes,None,15.1,41.205174577403845,1.319907316523006,67.93107448466135
Commercial,28,8,No,Negligence,Large,26,5,No,6,2,No,No,Within 1 year,19.674304383408742,88.32540109174757,0.6,24.60252560844369
Residential,39,11,No,Chemical,Large,8,7,Yes,13,17,No,Yes,Over 3 years,22.203456287526123,71.641933575051,2.4922036432104484,26.477504268992487
Commercial,11,3,Yes,Negligence,Large,19,9,Yes,4,9,No,No,Over 3 years,18.78343627629255,40.4,2.39706512307123,83.17191683259979
Industrial,24,6,Yes,Chemical,Medium,42,5,No,4,3,No,Yes,Within 1 year,24.616981864476923,99.4,0.6,45.61246190704168
Commercial,30,8,No,Chemical,Medium,28,4,Yes,10,9,No,No,Within 1 year,21.10609389582236,80.03341984694475,1.5445723444006936,28.15450388989114
Residential,19,5,No,Electrical,Small,0,10,No,5,17,No,No,None,19.2964047983386,40.4,1.861149927464228,2.3
Industrial,40,11,No,Negligence,Large,36,5,Yes,8,12,No,Yes,Over 3 years,26.41269332892453,87.02045554190752,3.4715623739011114,24.699240023752168
Residential,9,3,Yes,Electrical,Small,28,4,Yes,4,7,No,No,None,20.83026572891417,60.12811695936037,3.578584140087796,23.678467064274543
Residential,18,5,Yes,Negligence,Small,24,5,Yes,5,2,No,No,Within 1 year,26.40302470968357,66.4639786118195,3.062616427817965,36.983193842464
Commercial,29,8,Yes,Electrical,Small,36,10,Yes,10,12,No,No,Over 3 years,22.21335773720861,81.21565886515309,2.508944450891565,57.370559519539846
Residential,14,5,Yes,Chemical,Medium,0,8,No,4,1,No,No,Over 3 years,23.415977259703805,67.13188677339942,1.3543283656546248,45.20017303407542
Commercial,46,13,No,Chemical,Large,40,3,Yes,16,12,Yes,Yes,None,24.682446777438184,77.338178922357,2.889076466533142,49.0143391455066
Residential,12,3,Yes,Chemical,Large,22,7,Yes,5,2,No,No,None,21.763415558469,80.341980827972,2.7198750237977136,67.77631188999268
Residential,14,4,No,Chemical,Small,14,4,No,3,0,No,No,None,21.454038150761203,79.02294371613917,1.3824128877454096,13.062742341564164
Commercial,16,4,No,Negligence,Medium,25,6,No,1,0,No,No,Over 3 years,29.7,45.34182438860374,4.04952958062415,2.3
Commercial,33,9,Yes,Chemical,Large,33,4,Yes,11,5,No,No,Over 3 years,26.707660968463507,99.4,4.070423986969441,64.73707018904175
Commercial,23,6,No,Negligence,Small,22,4,No,2,4,No,No,Over 3 years,26.89576877176252,66.60010461013124,2.865137029477214,2.3
Commercial,5,1,Yes,Negligence,Large,28,8,Yes,6,13,Yes,Yes,None,18.96500793031673,74.06218140248487,3.991653244035602,80.24852481953349
Commercial,38,11,No,Chemical,Small,30,6,Yes,7,5,No,No,Over 3 years,15.1,67.86418655518965,3.0178765040700872,54.53609107966879
Industrial,36,10,No,Negligence,Medium,30,6,No,7,5,No,No,Over 3 years,16.785285248879585,69.87160850946152,0.6,22.66106834023992
Residential,10,3,No,Negligence,Large,50,9,No,3,0,Yes,Yes,None,23.32699499739622,74.59988852060432,1.9392186374668083,13.979377502308274
Industrial,37,11,Yes,Negligence,Medium,24,8,No,7,4,No,No,Within 1 year,29.7,92.143240852127,0.6,11.769291305338909
Commercial,28,8,No,Electrical,Medium,22,5,No,8,9,No,No,Over 3 years,26.30725495218212,96.37392616853865,2.276784412748336,7.194538624837914
Industrial,28,8,Yes,Negligence,Large,26,4,Yes,9,10,No,Yes,None,28.76497902224061,74.47399982394363,4.9,94.1
Residential,41,12,No,Chemical,Small,44,1,Yes,16,20,Yes,Yes,Over 3 years,16.749328558015463,73.03896340929178,2.764997455508514,68.35579868679771
Residential,5,1,Yes,Chemical,Small,18,3,No,1,0,No,No,None,16.912271142976106,53.27694582216052,3.316434546700942,51.41097754086693
Commercial,33,9,Yes,Electrical,Large,39,4,No,7,0,No,Yes,Within 1 year,22.730592846821303,91.1368511262369,2.5007058496619003,49.89260127737599
Commercial,31,9,No,Chemical,Medium,31,3,No,7,12,No,No,Over 3 years,25.563609930107614,41.6638520307767,2.7408619909645964,2.3
Industrial,23,6,No,Negligence,Small,43,4,Yes,5,10,No,No,Within 1 year,29.448407483596668,87.53644958739328,2.087578782282546,23.35030164521192
Residential,18,5,No,Chemical,Medium,32,5,Yes,7,8,No,No,None,17.532577612267893,71.36755150942659,2.493080548065657,2.3
Industrial,35,10,Yes,Electrical,Small,27,4,No,9,6,No,No,Within 1 year,20.90481870574084,99.4,3.1235666021367634,33.713015497225186
Residential,5,1,No,Chemical,Small,50,4,Yes,1,8,No,Yes,None,29.138979978692102,59.99372464901976,4.277003053120478,56.69509225184957
Residential,49,14,No,Chemical,Small,1,7,Yes,17,16,Yes,Yes,Within 1 year,21.516180174017432,89.93045245621191,4.276052465592406,20.91371674055994
Commercial,6,2,Yes,Chemical,Medium,11,4,No,2,2,No,No,Over 3 years,19.675933431019736,78.41565842278742,3.394621439786901,50.23038968461706
Residential,38,11,No,Chemical,Small,41,3,Yes,16,11,No,Yes,Over 3 years,21.845798837911648,89.04896596268163,2.738355803429437,27.01925488676657
Industrial,24,7,Yes,Chemical,Large,19,8,Yes,8,6,No,No,Over 3 years,25.961536273253483,67.0958889244512,2.157280946876067,94.1
Commercial,5,1,No,Negligence,Large,39,2,No,1,6,No,No,1-3 years,26.066158324567045,99.4,1.7389741216649095,2.3
Commercial,49,14,Yes,Negligence,Small,13,7,No,12,17,No,No,Over 3 years,23.044391503752063,76.82233187520075,0.6,58.57586568053247
Residential,16,5,No,Electrical,Medium,23,2,No,2,9,No,No,Within 1 year,24.197760937996847,78.01262305413366,0.980186466142298,2.3
Commercial,38,11,Yes,Negligence,Large,19,5,Yes,11,7,Yes,No,1-3 years,25.89757677181895,95.8282893347868,3.2542050833111733,17.567701936344097
Industrial,49,14,No,Chemical,Small,45,4,Yes,17,18,Yes,Yes,1-3 years,25.366543858386294,99.4,1.6210395228206849,71.31651567190985
Residential,11,3,No,Chemical,Medium,34,10,No,1,0,No,No,Over 3 years,23.06677935175891,40.4,1.3894903951940265,18.062891260406342
Commercial,5,1,Yes,Chemical,Medium,19,7,No,1,0,No,No,None,28.400051370486537,59.632603744089565,1.8139092338948224,2.3
Residential,7,1,No,Chemical,Medium,36,4,No,1,0,No,Yes,1-3 years,21.293074891124263,56.76887441709257,2.284777088492255,2.3
Residential,26,8,No,Negligence,Large,3,3,Yes,9,15,No,No,Over 3 years,15.1,67.52251881619307,1.5644539799491837,30.29299501689831
Commercial,23,6,No,Electrical,Medium,29,6,Yes,5,1,No,No,Within 1 year,15.1,84.38619248060635,2.136306066043388,2.3
Commercial,28,8,No,Chemical,Small,10,2,Yes,8,15,No,No,None,21.470188370649293,72.41264865045567,3.8605732860101214,37.734884125645415
Commercial,46,13,No,Electrical,Small,44,8,Yes,13,1,Yes,Yes,1-3 years,21.44926216414413,99.4,2.2119388068770856,40.01694040377952
Residential,27,8,Yes,Chemical,Small,26,3,Yes,8,10,No,Yes,None,15.903131356407943,64.41871696063167,1.833278618759581,66.18721788109289
Commercial,21,6,No,Electrical,Small,50,8,No,4,3,No,No,Within 1 year,17.300270529412987,94.0020870977824,0.6,17.813588315455128
Commercial,20,6,No,Chemical,Small,22,2,Yes,6,12,No,No,Over 3 years,29.7,80.86533807944012,2.5557020771170524,33.56393954491243
Commercial,12,3,Yes,Negligence,Small,31,6,Yes,1,2,No,No,Over 3 years,22.72567874359647,65.03897241645495,3.709003162375191,33.2144924051089
Residential,12,3,No,Electrical,Small,33,9,Yes,5,11,No,Yes,Over 3 years,18.935276000202503,46.68793507902456,2.8471425961463805,49.237815730013565
Industrial,30,9,No,Chemical,Small,32,1,No,3,0,No,No,None,23.72862873251663,78.33770229763408,4.424299049464953,2.3
Commercial,39,11,No,Chemical,Large,40,7,Yes,12,8,Yes,Yes,Within 1 year,26.07649619669596,70.16860969968694,2.3294447993951337,60.56114181972711
Residential,5,1,No,Chemical,Small,28,2,No,1,9,No,No,None,26.9027944241342,71.5304103744573,3.0872851886608608,16.313357596580342
Commercial,34,10,No,Negligence,Medium,40,7,Yes,11,8,No,Yes,None,28.53432658004679,79.84570701637652,2.2222771777972263,52.90055909608862
Residential,26,7,No,Chemical,Medium,22,5,No,6,7,No,No,None,15.932082474159753,67.27885816873984,1.3912360534872503,57.42978795040119
Residential,30,9,Yes,Negligence,Small,34,2,Yes,10,12,No,Yes,Over 3 years,20.588681746166262,70.92581395959657,3.177045777418259,63.23151837969132
Commercial,26,8,No,Electrical,Medium,22,8,No,7,10,No,No,1-3 years,25.32076787713327,52.781349286311126,1.551094819123707,2.3
Commercial,24,7,No,Chemical,Medium,19,10,No,5,0,No,No,Over 3 years,29.7,69.58297155261066,0.6,29.7139853637481
Commercial,18,5,No,Chemical,Large,49,5,No,8,12,No,Yes,1-3 years,29.25504879492989,77.02816273136935,4.168426310813442,38.814491405934994
Residential,30,9,No,Electrical,Medium,28,10,Yes,7,2,No,No,Within 1 year,19.02596210222708,42.38395436431739,2.727221576725789,19.549556572570967
Commercial,29,8,No,Chemical,Medium,0,9,Yes,8,8,No,No,Over 3 years,21.455035384261635,89.95308494971005,2.601305286309352,17.039505641858693
Commercial,44,13,No,Negligence,Small,27,5,Yes,11,6,Yes,No,Within 1 year,24.74424899691869,83.28491130835359,2.8584804067977947,2.3
Residential,23,7,No,Chemical,Large,45,2,Yes,10,11,Yes,Yes,Over 3 years,18.934755665919525,89.16654046018596,3.762899713668453,32.29872357126359
Commercial,39,11,No,Negligence,Large,32,6,Yes,8,6,Yes,Yes,1-3 years,21.85544727096696,83.65385596062565,1.2565168332949972,79.57612170563574
Industrial,25,7,No,Negligence,Large,50,5,Yes,7,12,No,Yes,Over 3 years,15.1,83.25337959829487,2.7815646788548225,73.06446209353359
Residential,20,6,No,Negligence,Small,15,10,No,3,2,No,No,Over 3 years,22.12334229207306,69.36530570405915,1.893132880139373,2.3
Commercial,9,2,Yes,Chemical,Small,40,7,No,5,7,Yes,No,Within 1 year,15.941711366561812,75.53797752164321,2.755602195657589,27.414848883992008
Residential,13,4,Yes,Negligence,Small,14,8,No,1,0,No,No,Over 3 years,26.48425916973446,45.03748095041706,2.834503672391761,9.624298565999222
Commercial,33,9,No,Negligence,Large,44,4,Yes,8,6,No,No,Within 1 year,19.868500125170087,99.4,3.519815374190224,41.430666546346565
Residential,14,4,Yes,Negligence,Small,38,7,Yes,3,6,No,No,Within 1 year,25.176396589471945,67.48285992796237,4.013012434138988,7.544724370747392
Commercial,28,8,Yes,Negligence,Medium,30,6,Yes,9,12,No,Yes,None,22.58691981696331,94.86570843755696,3.328098770129126,65.0314530086656
Commercial,43,12,No,Negligence,Small,50,8,Yes,13,3,Yes,Yes,None,19.120785012341862,76.46100025370751,1.8961474767772053,77.43078650059473
Residential,43,12,Yes,Chemical,Small,28,5,Yes,12,5,No,No,None,15.1,48.0980065809666,3.2636239030257026,10.199727635610872
Residential,21,6,Yes,Chemical,Small,21,8,No,2,0,No,No,Within 1 year,17.527123226626042,51.69225294980906,0.7069116286996049,25.02422718435068
Residential,25,7,Yes,Negligence,Large,32,5,Yes,11,13,No,Yes,Over 3 years,15.1,87.43954896153451,2.6719497233113843,81.25566228952383
Industrial,5,1,No,Chemical,Medium,45,2,No,1,4,No,No,1-3 years,26.0578413406278,83.56020516662302,4.042739395643616,20.295660498334072
Industrial,16,5,Yes,Negligence,Small,36,4,No,1,5,No,No,None,26.06098674846573,66.07314489098252,0.9030074348643176,77.21361448992103
Commercial,46,13,No,Negligence,Large,14,10,Yes,10,7,No,No,1-3 years,19.461818128841607,68.0694748812051,1.842072193034081,11.44431143885243
Commercial,5,1,Yes,Chemical,Medium,41,3,Yes,1,5,No,No,None,22.7284658096771,64.60809964052592,4.658419431031403,10.9324564943376
Residential,27,7,Yes,Chemical,Large,7,7,Yes,8,2,No,No,1-3 years,22.55064884585504,75.69876380623494,2.665219241019455,12.386993168101563
Commercial,26,7,No,Negligence,Small,37,6,Yes,11,18,Yes,Yes,None,28.285941534426424,84.67557920844718,2.109005777909972,90.84502725547466
Commercial,5,1,No,Negligence,Medium,34,8,No,1,5,No,No,None,19.388048253613256,44.46992537019568,2.6057379818944666,59.903192908418646
Industrial,34,10,Yes,Chemical,Small,32,7,Yes,7,4,No,No,Over 3 years,19.86018128204537,85.31241147404647,2.908773635858096,51.78844511519858
Commercial,31,9,Yes,Chemical,Medium,40,5,Yes,7,9,No,No,None,20.36887352338356,58.08780308176073,3.29029437300108,2.3
Industrial,18,5,No,Chemical,Medium,29,9,Yes,1,4,No,No,None,20.467845562612737,51.7571467701548,1.889735995298672,47.534039071677306
Commercial,27,7,No,Negligence,Medium,48,4,Yes,4,7,No,No,None,23.89647797334296,47.69945827746183,2.6386952619595894,26.39814827733797
Commercial,41,12,No,Negligence,Small,24,7,Yes,10,2,No,No,Within 1 year,20.196451728893727,65.71997959724483,2.58047349262918,7.563939022234585
Residential,11,3,No,Negligence,Medium,6,8,No,1,2,No,No,1-3 years,25.22754647376763,60.90492445399303,1.4753169538712878,2.3
Industrial,35,10,Yes,Electrical,Small,35,6,Yes,6,13,No,Yes,Within 1 year,29.7,73.14499076129196,0.776438500865767,45.032669725187006
Commercial,49,14,No,Negligence,Medium,19,7,Yes,13,6,Yes,Yes,Over 3 years,24.33238402087789,51.98168614372747,4.7010690855341455,2.3
Industrial,23,6,Yes,Chemical,Small,22,1,Yes,3,1,No,No,None,23.132718901567525,99.4,2.905364893390957,24.1082879594304
Residential,39,11,No,Chemical,Medium,10,6,No,8,11,No,No,None,24.634850129917723,49.6862213310958,0.6,24.26895211362922
Residential,32,9,No,Chemical,Small,23,6,No,7,7,No,Yes,Over 3 years,22.87477919262847,60.60609223130072,2.0706327466408867,30.693226226361656
Commercial,37,10,No,Chemical,Medium,20,9,Yes,9,10,No,No,Over 3 years,24.72087712747824,99.4,1.145661051011667,29.16698595959968
Commercial,15,4,Yes,Negligence,Medium,25,6,Yes,4,3,No,Yes,None,19.59774095329953,91.0051374937202,2.1410130164171166,43.897943882473406
Residential,22,6,No,Negligence,Small,40,9,No,4,1,No,No,Over 3 years,23.64705640957162,52.63852627736071,0.6,34.47337303943994
Industrial,40,11,Yes,Electrical,Medium,46,6,Yes,5,5,Yes,Yes,1-3 years,28.446018425136263,51.775912524614725,3.5967330121025443,30.4245702941543
Commercial,12,3,No,Chemical,Medium,40,5,No,1,0,No,No,None,25.454186522233027,86.59730146532459,1.8954549092849933,2.3
Industrial,40,12,Yes,Electrical,Medium,29,8,Yes,13,6,No,No,1-3 years,29.43783850411645,82.5171934208993,1.4161543830298389,34.80513681689619
Commercial,21,6,Yes,Chemical,Large,15,4,Yes,2,5,No,Yes,None,19.471053574075498,53.03730170659532,3.645471761074696,47.04004627111504
Residential,45,13,No,Chemical,Small,34,5,Yes,14,1,No,No,Over 3 years,21.07479088822456,80.09029796651429,1.8628398713069896,36.79949229661813
Commercial,10,3,Yes,Negligence,Medium,34,6,Yes,7,7,No,No,None,24.934457966312483,68.90146906635741,4.9,53.20948937997801
Commercial,24,6,No,Negligence,Small,47,9,No,8,9,Yes,Yes,Within 1 year,21.080351318938103,83.83272600988373,2.6289984779131528,13.974383626460156
Commercial,20,6,No,Negligence,Large,34,3,No,4,10,Yes,No,Within 1 year,18.57371622892336,65.12508533337007,2.158669946674645,45.355396373268334
Industrial,18,5,Yes,Negligence,Medium,35,6,Yes,5,10,No,Yes,None,27.36219958529625,44.20889305270231,4.49764573392821,46.91956443879787
